,pattern_baseline_stability_corr,pattern_baseline_stability_p,pattern_high_excitement_corr,pattern_high_excitement_p,pattern_high_stress_corr,pattern_high_stress_p,pattern_mixed_pattern_corr,pattern_mixed_pattern_p,pattern_moderate_excitement_corr,pattern_moderate_excitement_p,pattern_moderate_stress_corr,pattern_moderate_stress_p,abs_importance
confidence_mean,0.19117715703713078,0.3708570429512176,-0.3913249381958877,0.05863001452272292,0.057991864654988415,0.7878058483278613,0.22834527222876536,0.2831814800098066,-0.41386005790563374,0.04438563813896741,-0.12678183733587228,0.5549659285030287,0.23491352122637968
sentiment_neutral,0.4994762934021272,0.012954926206811289,0.01940671753952547,0.9282825209309102,-0.37033241218228985,0.07485452811893112,-0.15451211432282735,0.47097739296070756,0.10434213474402486,0.6275274557668208,-0.24154459581482904,0.2555008525107465,0.23160237800093728
sentiment_variability,0.24533819170068574,0.24788096241684165,0.18573487070478806,0.3848834790247145,-0.46685899552791305,0.021452791326891065,-0.14143777137645547,0.5097431082155147,0.15603551913837946,0.46656126506255546,-0.028887275966438437,0.8934097357559658,0.20404877073577674
dominant_sentiment_score,-0.16215373375368694,0.4490428246949617,-0.2272128340599829,0.2856410002453714,0.4131113795642643,0.044810467015306596,0.08364980306088726,0.6975688265952578,-0.22713997987786125,0.285799688984846,0.09868124055216168,0.6464121025100686,0.2019914951448074
duration_s,0.11939956207471787,0.578413008019941,0.40725251554982866,0.04824606952156558,0.157098137768361,0.4634935909260435,-0.2743572742730903,0.19449932435496506,0.03416970178866752,0.8740578995388281,-0.09284194618486068,0.666116273070386,0.1808531896065877
hnr_mean,0.16308580384165858,0.44640485130691976,0.24779287448580162,0.24303009195738096,0.24779287448580162,0.24303009195738096,-0.25147041431333994,0.23587950664717444,-0.0661589113107118,0.7587326242882608,-0.08353361553358643,0.6979696234165628,0.17663908232848335
sentiment_positive,-0.0955909364634424,0.656812362746271,0.44071690393853397,0.031120470016168543,-0.13241435593044906,0.5373725065212358,-0.03164235070158425,0.8833086320362314,0.2019325452315344,0.3440208799156125,-0.12021145185178596,0.5758132837601133,0.17041809068622168
pause_frequency,0.015594366447401278,0.9423454334912099,-0.297923452211695,0.15737561292551955,-0.29792345221169503,0.15737561292551933,0.03867208405109332,0.8576184047474374,0.23237898563006748,0.274529472857608,0.12506536466727378,0.5603789184733228,0.1679262842032043
f0_cv,-0.16804096937912094,0.4325192694477451,0.25328476918933823,0.2324032131432127,-0.2049854890130728,0.3366192005967781,0.015756527810925187,0.9417468868024635,0.2693608506263617,0.20307811008562632,0.003853622036712926,0.9857417721176917,0.15254703800925531
speech_rate,-0.2024967915190009,0.3426456753362488,-0.09477308283225148,0.6595752845644054,0.2569724280151216,0.225442315380302,0.01400328792152372,0.948219750803445,0.25697242801512155,0.225442315380302,-0.008197848283950116,0.969673623166075,0.13890264443116157
spectral_centroid_mean,-0.05204362730190541,0.8091573417639423,-0.04195646501234992,0.8456619179122533,0.2600161036451797,0.21980237014905168,-0.15434195000338263,0.4714720021831612,-0.06473919833905163,0.7637650167400312,0.18461150754446498,0.3878157846113145,0.1262848086410557
